political_leaning,mean_climate_change,sd_climate_change,mean_personal_behaviour,sd_personal_behaviour,count
moderate,5,0,4.222222222222222,0.693888666488711,3
prefer not to say,4.428571428571429,0.7867957924694432,2.619047619047619,1.0261140545329515,7
somewhat conservative,3,NA,2,NA,1
somewhat liberal,4.75,0.4629100498862757,3.375,0.45206756062017917,8
very liberal,4.833333333333333,0.408248290463863,4.166666666666667,0.6236095644623235,6
